accession	version	species	fna	seqs	size
GCA_004843345.1_ASM484334	v1	acetobacteraceae_bacterium	acetobacteraceae_bacterium/GCA_004843345.1_ASM484334v1/GCA_004843345.1_ASM484334v1_genomic.fna	       2	2127761
GCA_000247605.1_ASM24760	v1	acetobacterium_woodii	acetobacterium_woodii/GCA_000247605.1_ASM24760v1/GCA_000247605.1_ASM24760v1_genomic.fna	       1	4044777
GCA_000266925.1_ASM26692	v1	acetomicrobium_mobile	acetomicrobium_mobile/GCA_000266925.1_ASM26692v1/GCA_000266925.1_ASM26692v1_genomic.fna	       1	2160700
GCA_000967915.1_ASM96791	v1	acholeplasma_brassicae	acholeplasma_brassicae/GCA_000967915.1_ASM96791v1/GCA_000967915.1_ASM96791v1_genomic.fna	       1	1877792
GCA_000968055.1_ASM96805	v1	acholeplasma_palmae	acholeplasma_palmae/GCA_000968055.1_ASM96805v1/GCA_000968055.1_ASM96805v1_genomic.fna	       1	1554229
GCA_001514355.1_ASM151435	v1	achromobacter_denitrificans	achromobacter_denitrificans/GCA_001514355.1_ASM151435v1/GCA_001514355.1_ASM151435v1_genomic.fna	       1	6226215
GCA_002205315.1_ASM220531	v1	achromobacter_denitrificans	achromobacter_denitrificans/GCA_002205315.1_ASM220531v1/GCA_002205315.1_ASM220531v1_genomic.fna	       1	6929205
GCA_003812265.1_ASM381226	v1	achromobacter_denitrificans	achromobacter_denitrificans/GCA_003812265.1_ASM381226v1/GCA_003812265.1_ASM381226v1_genomic.fna	       1	7010850
GCA_000783435.2_ASM78343	v2	achromobacter_insolitus	achromobacter_insolitus/GCA_000783435.2_ASM78343v2/GCA_000783435.2_ASM78343v2_genomic.fna	       2	6893045
GCA_001971645.1_ASM197164	v1	achromobacter_insolitus	achromobacter_insolitus/GCA_001971645.1_ASM197164v1/GCA_001971645.1_ASM197164v1_genomic.fna	       1	6492697
GCA_008245125.1_ASM824512	v1	achromobacter_insolitus	achromobacter_insolitus/GCA_008245125.1_ASM824512v1/GCA_008245125.1_ASM824512v1_genomic.fna	       1	6428890
GCA_002902905.1_ASM290290	v1	achromobacter_sp	achromobacter_sp/GCA_002902905.1_ASM290290v1/GCA_002902905.1_ASM290290v1_genomic.fna	       1	6648943
GCA_003600685.1_ASM360068	v1	achromobacter_sp	achromobacter_sp/GCA_003600685.1_ASM360068v1/GCA_003600685.1_ASM360068v1_genomic.fna	       1	6236552
GCA_002812705.1_ASM281270	v1	achromobacter_spanius	achromobacter_spanius/GCA_002812705.1_ASM281270v1/GCA_002812705.1_ASM281270v1_genomic.fna	       1	6425783
GCA_002966795.1_ASM296679	v1	achromobacter_spanius	achromobacter_spanius/GCA_002966795.1_ASM296679v1/GCA_002966795.1_ASM296679v1_genomic.fna	       1	6340208
GCA_003994415.1_ASM399441	v1	achromobacter_spanius	achromobacter_spanius/GCA_003994415.1_ASM399441v1/GCA_003994415.1_ASM399441v1_genomic.fna	       1	6687823
GCA_000165835.1_ASM16583	v1	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_000165835.1_ASM16583v1/GCA_000165835.1_ASM16583v1_genomic.fna	       3	7359146
GCA_001051055.1_ASM105105	v1	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_001051055.1_ASM105105v1/GCA_001051055.1_ASM105105v1_genomic.fna	       1	5876049
GCA_001558755.2_ASM155875	v2	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_001558755.2_ASM155875v2/GCA_001558755.2_ASM155875v2_genomic.fna	       2	6886958
GCA_001558915.2_ASM155891	v2	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_001558915.2_ASM155891v2/GCA_001558915.2_ASM155891v2_genomic.fna	       2	6565735
GCA_001559195.2_ASM155919	v2	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_001559195.2_ASM155919v2/GCA_001559195.2_ASM155919v2_genomic.fna	       1	6268754
GCA_008432465.1_ASM843246	v1	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_008432465.1_ASM843246v1/GCA_008432465.1_ASM843246v1_genomic.fna	       1	6402982
GCA_009363015.1_ASM936301	v1	achromobacter_xylosoxidans	achromobacter_xylosoxidans/GCA_009363015.1_ASM936301v1/GCA_009363015.1_ASM936301v1_genomic.fna	       2	6222121
GCA_000025305.1_ASM2530	v1	acidaminococcus_fermentans	acidaminococcus_fermentans/GCA_000025305.1_ASM2530v1/GCA_000025305.1_ASM2530v1_genomic.fna	       1	2329769
GCA_000230275.1_ASM23027	v1	acidaminococcus_intestini	acidaminococcus_intestini/GCA_000230275.1_ASM23027v1/GCA_000230275.1_ASM23027v1_genomic.fna	       1	2487765
GCA_003352165.1_ASM335216	v1	acidibrevibacterium_fodinaquatile	acidibrevibacterium_fodinaquatile/GCA_003352165.1_ASM335216v1/GCA_003352165.1_ASM335216v1_genomic.fna	       4	4037611
GCA_003184265.1_ASM318426	v1	acidiferrobacter_sp	acidiferrobacter_sp/GCA_003184265.1_ASM318426v1/GCA_003184265.1_ASM318426v1_genomic.fna	       1	3398398
GCA_001753245.1_ASM175324	v1	acidihalobacter_prosperus	acidihalobacter_prosperus/GCA_001753245.1_ASM175324v1/GCA_001753245.1_ASM175324v1_genomic.fna	       1	3566941
GCA_000023265.1_ASM2326	v1	acidimicrobium_ferrooxidans	acidimicrobium_ferrooxidans/GCA_000023265.1_ASM2326v1/GCA_000023265.1_ASM2326v1_genomic.fna	       1	2158157
GCA_000202835.1_ASM20283	v1	acidiphilium_multivorum	acidiphilium_multivorum/GCA_000202835.1_ASM20283v1/GCA_000202835.1_ASM20283v1_genomic.fna	       9	4214744
GCA_003325455.1_ASM332545	v1	acidipropionibacterium_virtanenii	acidipropionibacterium_virtanenii/GCA_003325455.1_ASM332545v1/GCA_003325455.1_ASM332545v1_genomic.fna	       1	3432872
GCA_003330725.1_ASM333072	v1	acidisarcina_polymorpha	acidisarcina_polymorpha/GCA_003330725.1_ASM333072v1/GCA_003330725.1_ASM333072v1_genomic.fna	       5	7600726
GCA_000175575.2_ASM17557	v2	acidithiobacillus_caldus	acidithiobacillus_caldus/GCA_000175575.2_ASM17557v2/GCA_000175575.2_ASM17557v2_genomic.fna	       4	2987045
GCA_000221025.1_ASM22102	v1	acidithiobacillus_caldus	acidithiobacillus_caldus/GCA_000221025.1_ASM22102v1/GCA_000221025.1_ASM22102v1_genomic.fna	       5	3237599
GCA_001650235.3_ASM165023	v3	acidithiobacillus_caldus	acidithiobacillus_caldus/GCA_001650235.3_ASM165023v3/GCA_001650235.3_ASM165023v3_genomic.fna	       3	2950006
GCA_003966655.1_ASM396665	v1	acidithiobacillus_ferridurans	acidithiobacillus_ferridurans/GCA_003966655.1_ASM396665v1/GCA_003966655.1_ASM396665v1_genomic.fna	       1	2921399
GCA_000214095.3_ASM21409	v3	acidithiobacillus_ferrivorans	acidithiobacillus_ferrivorans/GCA_000214095.3_ASM21409v3/GCA_000214095.3_ASM21409v3_genomic.fna	       1	3207552
GCA_000020825.1_ASM2082	v1	acidithiobacillus_ferrooxidans	acidithiobacillus_ferrooxidans/GCA_000020825.1_ASM2082v1/GCA_000020825.1_ASM2082v1_genomic.fna	       1	2885038
GCA_000021485.1_ASM2148	v1	acidithiobacillus_ferrooxidans	acidithiobacillus_ferrooxidans/GCA_000021485.1_ASM2148v1/GCA_000021485.1_ASM2148v1_genomic.fna	       1	2982397
GCA_008926505.1_ASM892650	v1	acidithiobacillus_sp	acidithiobacillus_sp/GCA_008926505.1_ASM892650v1/GCA_008926505.1_ASM892650v1_genomic.fna	       1	2933811
GCA_009662475.1_ASM966247	v1	acidithiobacillus_thiooxidans	acidithiobacillus_thiooxidans/GCA_009662475.1_ASM966247v1/GCA_009662475.1_ASM966247v1_genomic.fna	       1	3415726
GCA_000022565.1_ASM2256	v1	acidobacterium_capsulatum	acidobacterium_capsulatum/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_genomic.fna	       1	4127356
GCA_000176855.2_ASM17685	v2	acidovorax_avenae	acidovorax_avenae/GCA_000176855.2_ASM17685v2/GCA_000176855.2_ASM17685v2_genomic.fna	       1	5482170
GCA_002157125.1_ASM215712	v1	acidovorax_carolinensis	acidovorax_carolinensis/GCA_002157125.1_ASM215712v1/GCA_002157125.1_ASM215712v1_genomic.fna	       5	4704737
GCA_002157145.1_ASM215714	v1	acidovorax_carolinensis	acidovorax_carolinensis/GCA_002157145.1_ASM215714v1/GCA_002157145.1_ASM215714v1_genomic.fna	       1	4122625
GCA_002157165.1_ASM215716	v1	acidovorax_carolinensis	acidovorax_carolinensis/GCA_002157165.1_ASM215716v1/GCA_002157165.1_ASM215716v1_genomic.fna	       2	4058023
GCA_002157185.1_ASM215718	v1	acidovorax_carolinensis	acidovorax_carolinensis/GCA_002157185.1_ASM215718v1/GCA_002157185.1_ASM215718v1_genomic.fna	       4	4565632
GCA_000015325.1_ASM1532	v1	acidovorax_citrulli	acidovorax_citrulli/GCA_000015325.1_ASM1532v1/GCA_000015325.1_ASM1532v1_genomic.fna	       1	5352772
GCA_001593665.2_ASM159366	v2	acidovorax_citrulli	acidovorax_citrulli/GCA_001593665.2_ASM159366v2/GCA_001593665.2_ASM159366v2_genomic.fna	       2	4899546
GCA_002441975.1_ASM244197	v1	acidovorax_citrulli	acidovorax_citrulli/GCA_002441975.1_ASM244197v1/GCA_002441975.1_ASM244197v1_genomic.fna	       1	5349924
GCA_000022305.1_ASM2230	v1	acidovorax_ebreus	acidovorax_ebreus/GCA_000022305.1_ASM2230v1/GCA_000022305.1_ASM2230v1_genomic.fna	       1	3796573
GCA_000015545.1_ASM1554	v1	acidovorax_sp	acidovorax_sp/GCA_000015545.1_ASM1554v1/GCA_000015545.1_ASM1554v1_genomic.fna	       3	4585154
GCA_000302535.1_ASM30253	v1	acidovorax_sp	acidovorax_sp/GCA_000302535.1_ASM30253v1/GCA_000302535.1_ASM30253v1_genomic.fna	       1	5196935
GCA_001714725.1_ASM171472	v1	acidovorax_sp	acidovorax_sp/GCA_001714725.1_ASM171472v1/GCA_001714725.1_ASM171472v1_genomic.fna	       1	4574859
GCA_002176815.1_ASM217681	v1	acidovorax_sp	acidovorax_sp/GCA_002176815.1_ASM217681v1/GCA_002176815.1_ASM217681v1_genomic.fna	       4	4416593
GCA_003669015.1_ASM366901	v1	acidovorax_sp	acidovorax_sp/GCA_003669015.1_ASM366901v1/GCA_003669015.1_ASM366901v1_genomic.fna	       1	5045878
GCA_011303755.1_ASM1130375	v1	acidovorax_sp	acidovorax_sp/GCA_011303755.1_ASM1130375v1/GCA_011303755.1_ASM1130375v1_genomic.fna	       1	3152246
GCA_000046845.1_ASM4684	v1	acinetobacter_baylyi	acinetobacter_baylyi/GCA_000046845.1_ASM4684v1/GCA_000046845.1_ASM4684v1_genomic.fna	       1	3598621
GCA_002813045.1_ASM281304	v1	acinetobacter_bereziniae	acinetobacter_bereziniae/GCA_002813045.1_ASM281304v1/GCA_002813045.1_ASM281304v1_genomic.fna	       1	4509124
GCA_002165375.2_ASM216537	v2	acinetobacter_chinensis	acinetobacter_chinensis/GCA_002165375.2_ASM216537v2/GCA_002165375.2_ASM216537v2_genomic.fna	       8	3737289
GCA_003024525.3_ASM302452	v3	acinetobacter_cumulans	acinetobacter_cumulans/GCA_003024525.3_ASM302452v3/GCA_003024525.3_ASM302452v3_genomic.fna	      10	3710871
GCA_001704615.3_ASM170461	v3	acinetobacter_defluvii	acinetobacter_defluvii/GCA_001704615.3_ASM170461v3/GCA_001704615.3_ASM170461v3_genomic.fna	       9	3812268
GCA_009884975.1_ASM988497	v1	acinetobacter_dispersus	acinetobacter_dispersus/GCA_009884975.1_ASM988497v1/GCA_009884975.1_ASM988497v1_genomic.fna	       1	4024840
GCA_001307195.1_ASM130719	v1	acinetobacter_equi	acinetobacter_equi/GCA_001307195.1_ASM130719v1/GCA_001307195.1_ASM130719v1_genomic.fna	       1	3054269
GCA_002370525.2_ASM237052	v2	acinetobacter_guillouiae	acinetobacter_guillouiae/GCA_002370525.2_ASM237052v2/GCA_002370525.2_ASM237052v2_genomic.fna	       1	4648418
GCA_009884295.1_ASM988429	v1	acinetobacter_gyllenbergii	acinetobacter_gyllenbergii/GCA_009884295.1_ASM988429v1/GCA_009884295.1_ASM988429v1_genomic.fna	       1	4091186
GCA_002953575.2_ASM295357	v2	acinetobacter_indicus	acinetobacter_indicus/GCA_002953575.2_ASM295357v2/GCA_002953575.2_ASM295357v2_genomic.fna	       1	3157380
GCA_009296145.1_ASM929614	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009296145.1_ASM929614v1/GCA_009296145.1_ASM929614v1_genomic.fna	       3	3254850
GCA_009734145.1_ASM973414	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009734145.1_ASM973414v1/GCA_009734145.1_ASM973414v1_genomic.fna	       1	3256420
GCA_009914375.1_ASM991437	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009914375.1_ASM991437v1/GCA_009914375.1_ASM991437v1_genomic.fna	       2	3107012
GCA_009914395.1_ASM991439	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009914395.1_ASM991439v1/GCA_009914395.1_ASM991439v1_genomic.fna	       6	3277303
GCA_009914415.1_ASM991441	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009914415.1_ASM991441v1/GCA_009914415.1_ASM991441v1_genomic.fna	       2	3046578
GCA_009914435.1_ASM991443	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009914435.1_ASM991443v1/GCA_009914435.1_ASM991443v1_genomic.fna	       4	3118196
GCA_009914475.1_ASM991447	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_009914475.1_ASM991447v1/GCA_009914475.1_ASM991447v1_genomic.fna	       3	3084932
GCA_010917815.1_ASM1091781	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_010917815.1_ASM1091781v1/GCA_010917815.1_ASM1091781v1_genomic.fna	       5	3318518
GCA_010918035.1_ASM1091803	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_010918035.1_ASM1091803v1/GCA_010918035.1_ASM1091803v1_genomic.fna	       5	3176720
GCA_010918195.1_ASM1091819	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_010918195.1_ASM1091819v1/GCA_010918195.1_ASM1091819v1_genomic.fna	       5	3167100
GCA_010918375.1_ASM1091837	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_010918375.1_ASM1091837v1/GCA_010918375.1_ASM1091837v1_genomic.fna	       8	3632894
GCA_012278715.1_ASM1227871	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_012278715.1_ASM1227871v1/GCA_012278715.1_ASM1227871v1_genomic.fna	       6	3195659
GCA_012278735.1_ASM1227873	v1	acinetobacter_indicus	acinetobacter_indicus/GCA_012278735.1_ASM1227873v1/GCA_012278735.1_ASM1227873v1_genomic.fna	       6	3038308
GCA_001484935.1_ASM148493	v1	acinetobacter_johnsonii	acinetobacter_johnsonii/GCA_001484935.1_ASM148493v1/GCA_001484935.1_ASM148493v1_genomic.fna	       9	4081329
GCA_003335165.1_ASM333516	v1	acinetobacter_johnsonii	acinetobacter_johnsonii/GCA_003335165.1_ASM333516v1/GCA_003335165.1_ASM333516v1_genomic.fna	       1	3398706
GCA_003952785.1_ASM395278	v1	acinetobacter_johnsonii	acinetobacter_johnsonii/GCA_003952785.1_ASM395278v1/GCA_003952785.1_ASM395278v1_genomic.fna	       5	3736232
GCA_004337595.1_ASM433759	v1	acinetobacter_johnsonii	acinetobacter_johnsonii/GCA_004337595.1_ASM433759v1/GCA_004337595.1_ASM433759v1_genomic.fna	       2	3804254
GCA_008180305.1_ASM818030	v1	acinetobacter_johnsonii	acinetobacter_johnsonii/GCA_008180305.1_ASM818030v1/GCA_008180305.1_ASM818030v1_genomic.fna	       4	3835186
GCA_001941805.1_ASM194180	v1	acinetobacter_junii	acinetobacter_junii/GCA_001941805.1_ASM194180v1/GCA_001941805.1_ASM194180v1_genomic.fna	       1	3378307
GCA_002165245.3_ASM216524	v3	acinetobacter_junii	acinetobacter_junii/GCA_002165245.3_ASM216524v3/GCA_002165245.3_ASM216524v3_genomic.fna	       3	3392425
GCA_002761875.1_ASM276187	v1	acinetobacter_junii	acinetobacter_junii/GCA_002761875.1_ASM276187v1/GCA_002761875.1_ASM276187v1_genomic.fna	       1	3288057
GCA_002076935.1_ASM207693	v1	acinetobacter_lactucae	acinetobacter_lactucae/GCA_002076935.1_ASM207693v1/GCA_002076935.1_ASM207693v1_genomic.fna	       1	3981712
GCA_001704115.1_ASM170411	v1	acinetobacter_larvae	acinetobacter_larvae/GCA_001704115.1_ASM170411v1/GCA_001704115.1_ASM170411v1_genomic.fna	       1	3741098
GCA_000814165.3_ASM81416	v3	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_000814165.3_ASM81416v3/GCA_000814165.3_ASM81416v3_genomic.fna	       4	4061750
GCA_002082665.1_ASM208266	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_002082665.1_ASM208266v1/GCA_002082665.1_ASM208266v1_genomic.fna	       2	4142356
GCA_002951295.1_ASM295129	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_002951295.1_ASM295129v1/GCA_002951295.1_ASM295129v1_genomic.fna	       1	4002679
GCA_003143895.1_ASM314389	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_003143895.1_ASM314389v1/GCA_003143895.1_ASM314389v1_genomic.fna	       1	4010110
GCA_004295305.1_ASM429530	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_004295305.1_ASM429530v1/GCA_004295305.1_ASM429530v1_genomic.fna	       1	3958196
GCA_004792395.1_ASM479239	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_004792395.1_ASM479239v1/GCA_004792395.1_ASM479239v1_genomic.fna	       1	3793191
GCA_005281455.1_ASM528145	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_005281455.1_ASM528145v1/GCA_005281455.1_ASM528145v1_genomic.fna	       1	3824973
GCA_008086325.1_ASM808632	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_008086325.1_ASM808632v1/GCA_008086325.1_ASM808632v1_genomic.fna	       3	3948465
GCA_009588945.1_ASM958894	v1	acinetobacter_nosocomialis	acinetobacter_nosocomialis/GCA_009588945.1_ASM958894v1/GCA_009588945.1_ASM958894v1_genomic.fna	       2	4154154
GCA_000196795.1_ASM19679	v1	acinetobacter_oleivorans	acinetobacter_oleivorans/GCA_000196795.1_ASM19679v1/GCA_000196795.1_ASM19679v1_genomic.fna	       1	4152543
GCA_000191145.1_ASM19114	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_genomic.fna	       1	3862530
GCA_001577285.1_ASM157728	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_001577285.1_ASM157728v1/GCA_001577285.1_ASM157728v1_genomic.fna	       3	4216804
GCA_001617545.1_ASM161754	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_001617545.1_ASM161754v1/GCA_001617545.1_ASM161754v1_genomic.fna	       4	3957199
GCA_002012285.1_ASM201228	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_002012285.1_ASM201228v1/GCA_002012285.1_ASM201228v1_genomic.fna	       2	4045824
GCA_002158945.1_ASM215894	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_002158945.1_ASM215894v1/GCA_002158945.1_ASM215894v1_genomic.fna	       2	4182874
GCA_002863745.1_ASM286374	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_002863745.1_ASM286374v1/GCA_002863745.1_ASM286374v1_genomic.fna	       2	4099621
GCA_002902805.2_ASM290280	v2	acinetobacter_pittii	acinetobacter_pittii/GCA_002902805.2_ASM290280v2/GCA_002902805.2_ASM290280v2_genomic.fna	       4	4253404
GCA_002999115.2_ASM299911	v2	acinetobacter_pittii	acinetobacter_pittii/GCA_002999115.2_ASM299911v2/GCA_002999115.2_ASM299911v2_genomic.fna	       4	4145467
GCA_002999215.3_ASM299921	v3	acinetobacter_pittii	acinetobacter_pittii/GCA_002999215.3_ASM299921v3/GCA_002999215.3_ASM299921v3_genomic.fna	       4	3954562
GCA_003051965.2_ASM305196	v2	acinetobacter_pittii	acinetobacter_pittii/GCA_003051965.2_ASM305196v2/GCA_003051965.2_ASM305196v2_genomic.fna	       6	4253251
GCA_003956065.1_ASM395606	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_003956065.1_ASM395606v1/GCA_003956065.1_ASM395606v1_genomic.fna	       2	4295433
GCA_007954485.1_ASM795448	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_007954485.1_ASM795448v1/GCA_007954485.1_ASM795448v1_genomic.fna	       7	4265778
GCA_008121475.1_ASM812147	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_008121475.1_ASM812147v1/GCA_008121475.1_ASM812147v1_genomic.fna	       4	4306556
GCA_008694085.1_ASM869408	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_008694085.1_ASM869408v1/GCA_008694085.1_ASM869408v1_genomic.fna	       3	4009633
GCA_009931315.1_ASM993131	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_009931315.1_ASM993131v1/GCA_009931315.1_ASM993131v1_genomic.fna	       1	3990427
GCA_011996285.1_ASM1199628	v1	acinetobacter_pittii	acinetobacter_pittii/GCA_011996285.1_ASM1199628v1/GCA_011996285.1_ASM1199628v1_genomic.fna	       5	4161573
GCA_002993105.1_ASM299310	v1	acinetobacter_radioresistens	acinetobacter_radioresistens/GCA_002993105.1_ASM299310v1/GCA_002993105.1_ASM299310v1_genomic.fna	       1	3132860
GCA_003258335.1_ASM325833	v1	acinetobacter_radioresistens	acinetobacter_radioresistens/GCA_003258335.1_ASM325833v1/GCA_003258335.1_ASM325833v1_genomic.fna	       1	3089777
GCA_005519305.1_ASM551930	v1	acinetobacter_radioresistens	acinetobacter_radioresistens/GCA_005519305.1_ASM551930v1/GCA_005519305.1_ASM551930v1_genomic.fna	       4	3247241
GCA_006757745.1_ASM675774	v1	acinetobacter_radioresistens	acinetobacter_radioresistens/GCA_006757745.1_ASM675774v1/GCA_006757745.1_ASM675774v1_genomic.fna	       9	3433938
GCA_001971565.1_ASM197156	v1	acinetobacter_schindleri	acinetobacter_schindleri/GCA_001971565.1_ASM197156v1/GCA_001971565.1_ASM197156v1_genomic.fna	       7	3268053
GCA_003072585.2_ASM307258	v2	acinetobacter_schindleri	acinetobacter_schindleri/GCA_003072585.2_ASM307258v2/GCA_003072585.2_ASM307258v2_genomic.fna	       2	3244663
GCA_007833615.1_ASM783361	v1	acinetobacter_schindleri	acinetobacter_schindleri/GCA_007833615.1_ASM783361v1/GCA_007833615.1_ASM783361v1_genomic.fna	       5	3258703
GCA_010918635.1_ASM1091863	v1	acinetobacter_schindleri	acinetobacter_schindleri/GCA_010918635.1_ASM1091863v1/GCA_010918635.1_ASM1091863v1_genomic.fna	      11	3376106
GCA_010918895.1_ASM1091889	v1	acinetobacter_schindleri	acinetobacter_schindleri/GCA_010918895.1_ASM1091889v1/GCA_010918895.1_ASM1091889v1_genomic.fna	       9	3337186
GCA_010919095.1_ASM1091909	v1	acinetobacter_schindleri	acinetobacter_schindleri/GCA_010919095.1_ASM1091909v1/GCA_010919095.1_ASM1091909v1_genomic.fna	       9	3320700
GCA_001953195.1_ASM195319	v1	acinetobacter_soli	acinetobacter_soli/GCA_001953195.1_ASM195319v1/GCA_001953195.1_ASM195319v1_genomic.fna	       8	3636349
GCA_001278715.1_ASM127871	v1	acinetobacter_sp	acinetobacter_sp/GCA_001278715.1_ASM127871v1/GCA_001278715.1_ASM127871v1_genomic.fna	       1	2962453
GCA_001581975.1_ASM158197	v1	acinetobacter_sp	acinetobacter_sp/GCA_001581975.1_ASM158197v1/GCA_001581975.1_ASM158197v1_genomic.fna	       6	4072672
GCA_001612555.1_ASM161255	v1	acinetobacter_sp	acinetobacter_sp/GCA_001612555.1_ASM161255v1/GCA_001612555.1_ASM161255v1_genomic.fna	       3	3691287
GCA_001647675.1_ASM164767	v1	acinetobacter_sp	acinetobacter_sp/GCA_001647675.1_ASM164767v1/GCA_001647675.1_ASM164767v1_genomic.fna	       2	3048277
GCA_001696615.3_ASM169661	v3	acinetobacter_sp	acinetobacter_sp/GCA_001696615.3_ASM169661v3/GCA_001696615.3_ASM169661v3_genomic.fna	      13	3840414
GCA_002165255.2_ASM216525	v2	acinetobacter_sp	acinetobacter_sp/GCA_002165255.2_ASM216525v2/GCA_002165255.2_ASM216525v2_genomic.fna	       6	3092259
GCA_002165295.2_ASM216529	v2	acinetobacter_sp	acinetobacter_sp/GCA_002165295.2_ASM216529v2/GCA_002165295.2_ASM216529v2_genomic.fna	       6	3630571
