rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1	Azorhizobium_caulinodans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/055/GCA_003096055.1_ASM309605v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/099/975/GCA_003099975.1_ASM309997v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/935/GCA_003671935.1_ASM367193v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/705/GCA_005080705.1_ASM508070v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/865/GCA_005080865.1_ASM508086v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/965/GCA_005080965.1_ASM508096v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/081/445/GCA_005081445.1_ASM508144v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/082/145/GCA_005082145.1_ASM508214v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/082/585/GCA_005082585.1_ASM508258v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/083/845/GCA_005083845.1_ASM508384v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/237/295/GCA_005237295.1_ASM523729v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/741/185/GCA_006741185.1_BucNmo_1.0	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/035/165/GCA_011035165.1_ASM1103516v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/752/455/GCA_011752455.1_ASM1175245v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/752/475/GCA_011752475.1_ASM1175247v1	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/016/785/GCA_900016785.1_BTsPazieg1.0	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/595/GCA_900128595.1_BCipseudotaxifoliae_v1.0	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/725/GCA_900128725.1_BCifornacula_v1.0	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/735/GCA_900128735.1_BCiconfinis_v1.0	Buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/545/GCA_000218545.1_ASM21854v1	Cellulomonas_gilvus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/965/GCA_000020965.1_ASM2096v1	Dictyoglomus_thermophilum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/885/GCA_000012885.1_ASM1288v1	Pelobacter_carbinolicus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/044/255/GCA_003044255.1_ASM304425v1	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/575/GCA_009730575.1_ASM973057v1	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/665/GCA_900636665.1_43781_G01	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/855/GCA_900636855.1_44858_H01	Shewanella_putrefaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/565/GCA_000988565.1_ASM98856v1	Myxococcus_fulvus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/685/GCA_000012685.1_ASM1268v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/400/955/GCA_006400955.1_ASM640095v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/401/215/GCA_006401215.1_ASM640121v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/401/635/GCA_006401635.1_ASM640163v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/015/GCA_006402015.1_ASM640201v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/415/GCA_006402415.1_ASM640241v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/735/GCA_006402735.1_ASM640273v1	Myxococcus_xanthus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/105/GCA_000219105.1_ASM21910v1	Corallococcus_macrosporus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/895/GCA_002305895.1_ASM230589v1	Myxococcus_macrosporus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/485/GCA_000165485.1_ASM16548v1	Stigmatella_aurantiaca
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/875/GCA_002305875.1_ASM230587v1	Cystobacter_fuscus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/285/GCA_001027285.1_ASM102728v1	Archangium_gephyra
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/295/GCA_001189295.1_ASM118929v1	Chondromyces_crocatus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/165/GCA_000067165.1_ASM6716v1	Sorangium_cellulosum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/325/GCA_000418325.1_ASM41832v1	Sorangium_cellulosum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/950/945/GCA_002950945.1_ASM295094v1	Sorangium_cellulosum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/735/GCA_004135735.1_ASM413573v1	Sorangium_cellulosum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/755/GCA_004135755.1_ASM413575v1	Sorangium_cellulosum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/655/GCA_002222655.1_ASM222265v1	Vitreoscilla_filiformis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/565/GCA_000018565.1_ASM1856v1	Herpetosiphon_aurantiacus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/975/GCA_002355975.1_ASM235597v1	Lysobacter_enzymogenes
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/954/665/GCA_005954665.1_ASM595466v1	Lysobacter_enzymogenes
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/835/GCA_002951835.1_ASM295183v1	Simonsiella_muelleri
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/738/645/GCA_006738645.1_ASM673864v1	Stella_humosa
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/485/GCA_000222485.1_ASM22248v1	Cyclobacterium_marinum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/895/GCA_000218895.1_ASM21889v1	Runella_slithyformis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1	Spirosoma_linguale
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/495/GCA_003149495.1_ASM314949v1	Gemmata_obscuriglobus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/095/GCA_008065095.1_ASM806509v1	Gemmata_obscuriglobus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3	Rubinisphaera_brasiliensis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/105/GCA_000092105.1_ASM9210v1	Planctopirus_limnophila
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/298/035/GCA_008298035.1_ASM829803v1	Gimesia_maris
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/720/545/GCA_009720545.1_ASM972054v1	Gimesia_maris
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/185/GCA_000025185.1_ASM2518v1	Pirellula_staleyi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	Isosphaera_pallida
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/685/195/GCA_009685195.1_ASM968519v1	Methylocystis_parvus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/685/GCA_000008685.2_ASM868v2	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/405/GCA_000021405.1_ASM2140v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/635/GCA_000166635.2_ASM16663v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/655/GCA_000166655.2_ASM16665v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/465/GCA_000444465.1_ASM44446v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/465/GCA_002151465.1_ASM215146v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/485/GCA_002151485.1_ASM215148v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/505/GCA_002151505.1_ASM215150v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/595/GCA_002442595.1_ASM244259v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/367/295/GCA_003367295.1_ASM336729v1	Borreliella_burgdorferi
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/315/GCA_000956315.1_ASM95631v1	Borrelia_hermsii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/005/GCA_001660005.1_ASM166000v1	Borrelia_hermsii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/145/GCA_000512145.2_ASM51214v2	Borrelia_parkeri
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/085/GCA_000012085.2_ASM1208v2	Borrelia_turicatae
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/645/GCA_003568645.1_ASM356864v1	Borrelia_turicatae
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/255/GCA_001936255.1_ASM193625v1	Borrelia_anserina
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/075/GCA_000147075.1_ASM14707v1	Spirochaeta_thermophila
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/345/GCA_000184345.2_ASM18434v2	Spirochaeta_thermophila
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1	Treponema_denticola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/105/GCA_000022105.1_ASM2210v1	Brachyspira_hyodysenteriae
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/785/GCA_001676785.2_ASM167678v2	Brachyspira_hyodysenteriae
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/235/GCA_002850235.1_ASM285023v1	Brachyspira_hyodysenteriae
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/605/GCA_000008605.1_ASM860v1	Treponema_pallidum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/125/GCA_000604125.1_ASM60412v1	Treponema_pallidum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/885/795/GCA_005885795.1_ASM588579v1	Treponema_pallidum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/152/505/GCA_008152505.1_ASM815250v1	Treponema_phagedenis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/152/825/GCA_008152825.1_ASM815282v1	Treponema_phagedenis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/153/055/GCA_008153055.1_ASM815305v1	Treponema_phagedenis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/153/205/GCA_008153205.1_ASM815320v1	Treponema_phagedenis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/153/345/GCA_008153345.1_ASM815334v1	Treponema_phagedenis
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/275/GCA_000195275.1_ASM19527v1	Treponema_succinifaciens
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/605/GCA_000017605.1_ASM1760v1	Leptospira_biflexa
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/685/GCA_000017685.1_ASM1768v1	Leptospira_biflexa
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/685/GCA_000007685.1_ASM768v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/565/GCA_000092565.1_ASM9256v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/175/GCA_000231175.1_ASM23117v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/941/035/GCA_000941035.1_ASM94103v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/765/GCA_001010765.1_ASM101076v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/635/GCA_001047635.1_ASM104763v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/655/GCA_001047655.1_ASM104765v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/065/GCA_001293065.1_ASM129306v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/495/GCA_002073495.2_ASM207349v2	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/565/GCA_005222565.1_ASM522256v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/585/GCA_005222585.1_ASM522258v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/625/GCA_005222625.1_ASM522262v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/118/365/GCA_008118365.1_ASM811836v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/831/445/GCA_008831445.1_ASM883144v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/831/465/GCA_008831465.1_ASM883146v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/978/155/GCA_010978155.1_ASM1097815v1	Leptospira_interrogans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/965/GCA_000013965.1_ASM1396v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/465/GCA_001444465.1_ASM144446v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/845/GCA_003254845.1_ASM325484v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/516/145/GCA_003516145.1_ASM351614v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/716/785/GCA_003716785.1_ASM371678v1	Leptospira_borgpetersenii
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1	Leptospirillum_ferrooxidans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/475/GCA_000632475.2_ASM63247v2	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/015/GCA_001315015.1_ASM131501v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/145/GCA_005222145.1_ASM522214v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/165/GCA_005222165.1_ASM522216v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/205/GCA_005222205.1_ASM522220v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/274/945/GCA_008274945.1_ASM827494v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/274/965/GCA_008274965.1_ASM827496v1	Azospirillum_brasilense
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/725/GCA_000010725.1_ASM1072v1	Azospirillum_sp
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/655/GCA_000283655.1_ASM28365v1	Azospirillum_lipoferum
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/235/GCA_000465235.1_ASM46523v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/775/GCA_000494775.2_ASM49477v2	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/755/GCA_000583755.1_ASM58375v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/775/GCA_000583775.1_ASM58377v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/795/GCA_000583795.1_ASM58379v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/954/195/GCA_000954195.1_ASM95419v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/715/GCA_001305715.1_ASM130571v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/417/635/GCA_001417635.1_ASM141763v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/845/GCA_001483845.1_ASM148384v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/125/GCA_001639125.1_ASM163912v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/605/GCA_001717605.1_ASM171760v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/455/GCA_001865455.1_ASM186545v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/475/GCA_001865475.1_ASM186547v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/495/GCA_001865495.1_ASM186549v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/515/GCA_001865515.1_ASM186551v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/535/GCA_001865535.1_ASM186553v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/555/GCA_001865555.1_ASM186555v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/355/GCA_001936355.1_ASM193635v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/024/185/GCA_002024185.1_ASM202418v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/145/GCA_002407145.1_ASM240714v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/985/GCA_002843985.1_ASM284398v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/205/GCA_003030205.1_ASM303020v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/307/315/GCA_004307315.1_ASM430731v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/517/455/GCA_005517455.1_ASM551745v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/315/GCA_008727315.1_ASM872731v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/355/GCA_008727355.1_ASM872735v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/375/GCA_008727375.1_ASM872737v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/395/GCA_008727395.1_ASM872739v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/495/GCA_008727495.1_ASM872749v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/649/055/GCA_009649055.1_ASM964905v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/395/GCA_009730395.1_ASM973039v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/232/325/GCA_010232325.1_ASM1023232v1	Campylobacter_coli
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/085/GCA_000015085.1_ASM1508v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/505/GCA_000495505.1_ASM49550v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/745/GCA_000512745.2_ASM51274v2	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/485/GCA_000759485.1_ASM75948v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/515/GCA_000759515.1_ASM75951v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/265/GCA_000814265.1_ASM81426v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/135/GCA_000967135.1_CFV	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/645/GCA_001484645.1_ASM148464v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/885/GCA_001686885.1_ASM168688v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/973/655/GCA_002973655.1_ASM297365v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/271/385/GCA_008271385.1_ASM827138v1	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/935/GCA_900475935.1_48450_H02	Campylobacter_fetus
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/865/GCA_000011865.1_ASM1186v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/525/GCA_000015525.1_ASM1552v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/485/GCA_000017485.1_ASM1748v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/905/GCA_000017905.1_ASM1790v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/425/GCA_000025425.1_ASM2542v1	Campylobacter_jejuni
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/705/GCA_000148705.1_ASM14870v1	Campylobacter_jejuni
